Field level,,,Plot Level,,,Plot level Soil data,,,,,,
Variable,Explanations,,Variable,Explanations,,Variable,Explanations,,Figure 1 - Field Layout example,,,
block_id,field identification,,plot_id,plot identification,,plot_id,,,P1,P2,P3,P4
season,season,,treat_code,treatment code,,pH,soil pH,,,,,
district,district,,treat_details,treatment details,,tot_N,Total Nitrogen soil content (%),,,,,
cell,cell,,urea_rate_timing,urea rate and application time,,org_C,Soil organic carbon (%),,,,,
agzone,Agro-ecological zone,,crop,crop,,sand,sand content (%),,,,,
meg_env,Mega environement,,prior_season_crop,previous season crop,,,,,1st plot,2nd,3rd,4th
lat,lat,,planting_date,planting date,,,,,,,,
long,long,,compost_tha,compost amount per ha,,,,,,,,
alt,elevation,,compost_quality,visual compost quality,,,,,,,,
landscape_pos,field position ,,seed_variety,seed variety,,,,,,,,
slope_pos,field position on the hill,,seeds_kgha,seeds amount used,,,,,,,,
fert_rank,fertility rank based on farmer perception,,dap_kgha,DAP quantity applied per ha,,,,,,,,
soil_color,visual soil color,,urea_planting_kgha,urea amount applied at planting,,,,,,,,
rockness,visual pebbles content for the field,,germ_count_date,germination count date,,,,,,,,
soil_depth,field identification,,germination_rate,germination rate,,,,,,,,
slope,slope,,urea_V6_date,V6 (vegetative stage) urea application date,,,,,,,,
trial_follower_gender,gender of the trial follower,,urea_V6_kgha,V6 urea quantity,,,,,,,,
trialfield_home_min,time from the farmer's home to the trial field,,urea_V10_date,V10 urea application date,,,,,,,,
cult_land,total land area cultivated by the farmer,,urea_V10_kgha,V10 urea quantity,,,,,,,,
,,,urea_total_kgha,total urea applied,,,,,,,,
,,,N_kgha,total N rate applied,,,,,,,,
,,,silking_date,silking date,,,,,,,,
,,,R3_date,milking stage date,,,,,,,,
,,,harvest_date,harvest date,,,,,,,,
,,,yield_tha,yield per hectare,,,,,,,,
