plot_id,pH,tot_N,org_C,sand
adfa31ad-95bf-453d-94f1-d163a97756ee-21A-A,5.21,,,
d8807f25-e675-49ae-87a3-d228eca23c72-21A-A,5.75,,,
262efa71-6ff4-4e18-b6f1-0c3d293504c0-21A-A,5.81,,,
95c016dd-908a-4f07-9e49-926e9a9f4f19-21A-A,5.75,,,
1d5c61a0-ca6b-4db8-87c3-5ca46c7cad6d-21A-A,6.13,,,
6bbda1ad-cac0-405a-af23-1d7b92b9e8c2-21A-A,6.27,,,
975e5e46-7503-4d90-b32a-f33a234a1bd5-21A-A,5.70,,,
27591843-dba1-44c0-8014-d6a31f341e4c-21A-A,5.89,,,
730838ee-584a-4aaf-afb5-1ea2abe5180b-21A-A,5.65,,,
fe2d2425-acd9-43dc-a38c-4d36729b57f4-21A-A,5.24,,,
8dd62e1f-f676-44f9-8bf7-76a969e2474a-21A-A,6.08,,,
f19aaddb-d22a-40df-afb8-f489b1358d16-21A-A,5.94,,,
e8ef26c0-2a9c-4699-b8fa-16509d29122d-21A-A,5.26,,,
fd2519ff-db5c-4673-89bb-382a801825f8-21A-A,6.04,,,
34519590-bff7-434c-80ce-89a5c91d461f-21A-A,5.99,,,
19f383fd-78f4-4ee7-b8cc-a6d1feef9eba-21A-A,6.58,,,
f72efb59-2156-4f30-81d4-51c1b0061ac0-21A-A,6.29,,,
45496105-4777-4bb5-b1d7-54f9e4f7e2c2-21A-A,6.83,,,
dc347ce0-fe83-4c4e-90ee-47e3005699e9-21A-A,6.41,,,
4e195dd2-245e-4ac7-af83-fce75c5e8a0f-21A-A,5.94,,,
d0bcd085-2d73-4a5b-837e-39d89c81e1b7-21A-A,6.31,,,
d6de3c11-9291-4fec-80b8-89f08f8ce265-21A-A,5.74,,,
b985141a-f340-41b3-96bf-94b2814e7636-21A-A,6.78,,,
3d205c80-725b-4cfe-8251-b39cf5afb9ef-21A-A,6.32,,,
81c0c661-893c-46ca-bc0b-25601627a38a-21A-A,6.72,,,
eece4b14-c68f-41ce-a4f7-b8c6d3e3965e-21A-A,5.96,,,
3ad74e02-4e82-4c32-a898-7a4438c1573d-21A-A,6.24,,,
02a456dc-95f9-4e68-8187-f67031bcb563-21A-A,5.91,,,
d389faba-9203-4d79-9880-d4d43461a29c-21A-A,6.66,,,
c3695bce-45f7-4df9-910d-8b1480c4027a-21A-A,5.69,,,
797224dd-73a1-4bba-8228-d8f87fb9a91b-21A-A,6.19,,,
90296410-375f-41b0-924b-0f59c6b88b20-21A-A,6.20,,,
6e947663-ab7f-45e0-9026-409a0ee08515-21A-A,6.39,,,
61d746c1-0db7-455d-8fcb-ca9276a642db-21A-A,6.36,,,
a04caf43-b53e-4c1c-9318-7a00411854ec-21A-A,5.87,,,
d548245b-e443-4a59-886f-b82e7cebd671-21A-A,6.30,,,
7580f52e-1240-4ece-9834-53bdef2e06e2-21A-A,6.29,,,
b5b54ae1-b841-44b3-9ff6-efe1efff61a6-21A-A,5.88,,,
b9352ec0-19ad-4761-a8d8-7ec859737f84-21A-A,6.18,,,
f0e14959-f898-4490-baeb-e68f5f4dd139-21A-A,6.13,,,
c0c7d10a-1a47-4328-959b-616ccc264a9d-21A-A,6.23,,,
b07f5cc1-f0bf-4244-88bd-f5e4812d21ff-21A-A,6.48,,,
ff120793-f8d1-42dd-a0ba-d577cfd102e9-21A-A,6.45,,,
3b981319-164b-4c3d-b942-af1de3700691-21A-A,6.37,,,
04964b51-dbf6-4685-a928-cbbeabb249c9-21A-A,6.52,,,
dad51109dadf4856823ab8dfd1a2b690-22A-A,5.90,,,
dad51109dadf4856823ab8dfd1a2b690-22A-B,6.02,,,
dad51109dadf4856823ab8dfd1a2b690-22A-C,5.68,,,
dad51109dadf4856823ab8dfd1a2b690-22A-D,5.67,,,
3fb2973b98e84b7791dc68b51c7536d3-22A-A,5.80,,,
3fb2973b98e84b7791dc68b51c7536d3-22A-B,5.68,,,
3fb2973b98e84b7791dc68b51c7536d3-22A-C,5.46,,,
3fb2973b98e84b7791dc68b51c7536d3-22A-D,5.81,,,
e1abcae41c014c6abe4dd8172594de62-22A-A,6.21,,,
e1abcae41c014c6abe4dd8172594de62-22A-B,6.13,,,
e1abcae41c014c6abe4dd8172594de62-22A-C,5.97,,,
e1abcae41c014c6abe4dd8172594de62-22A-D,6.02,,,
